"instance","sat_time","xsat_time","clause_result","color"
"0",0.0173733234,0.0197172165,"unsatisfiable","red"
"1",0.0166296959,0.0167171955,"unsatisfiable","red"
"2",0.0109300613,0.0041687489,"satisfiable","blue"
"3",0.003269434,0.0058133602,"satisfiable","blue"
"4",0.0121884346,0.0150249004,"satisfiable","blue"
"5",0.0033712387,0.0024087429,"satisfiable","blue"
"6",0.0090796947,0.0087797642,"satisfiable","blue"
"7",0.0095632076,0.0053446293,"satisfiable","blue"
"8",0.0062351227,0.0075113773,"satisfiable","blue"
"9",0.0155415535,0.0178318024,"unsatisfiable","red"
